restaurant_id,name,city,state,cuisine_type,price_band,rating,review_count,address,postal_code,source_url,has_menu,date_accessed
1324618,Debonair Supper Club,Orlando,FL,"Steak, Seafood, Vegan",$31 to $50,4.0,67,183 S Orange Ave,32801-3203,https://www.opentable.com/restaurant/profile/1324618,False,2026-01-24T18:04:41.640040
1071793,Taste Downtown Tampa,Tampa,FL,Unspecified,$30 and under,0.0,0,513 South Florida Avenue,33602,https://www.opentable.com/restaurant/profile/1071793,False,2026-01-24T18:06:02.659282
1394083,Soul de Cuba Cafe,Tampa,FL,"Soul food, Latin American, Cuban",$30 and under,4.4,18,6428 N Florida Ave,33605,https://www.opentable.com/restaurant/profile/1394083,True,2026-01-24T18:06:02.659324
4246,Catch Twenty Three - Tampa,Tampa,FL,"Seafood, Caribbean, American",$30 and under,4.3,4562,10103 Montague Street,33626,https://www.opentable.com/restaurant/profile/4246,True,2026-01-24T18:06:02.659403
1342672,Ro,Tampa,FL,"Sushi, Japanese",$31 to $50,4.6,308,1500 W Swann Ave,33606,https://www.opentable.com/restaurant/profile/1342672,False,2026-01-24T18:06:02.659937
1045930,Meat Market Tampa,Tampa,FL,"Steakhouse, Contemporary American, Seafood",$50 and over,4.6,868,1606 W Snow Ave,33606,https://www.opentable.com/restaurant/profile/1045930,True,2026-01-24T18:06:02.659942
1198285,Watervue Grille,Tampa,FL,"Seafood, Breakfast",$31 to $50,4.6,30,700 Harbour Post Dr,33602-6700,https://www.opentable.com/restaurant/profile/1198285,False,2026-01-24T18:06:02.660611
1328743,Steelbach,Tampa,FL,"Steakhouse, American",$30 and under,4.5,360,1902 N Ola Ave,33602,https://www.opentable.com/restaurant/profile/1328743,False,2026-01-24T18:06:02.660616
45130,211 Restaurant @ Hilton Tampa,Tampa,FL,Unspecified,$30 and under,4.1,233,211 N. Tampa Street,33602,https://www.opentable.com/restaurant/profile/45130,True,2026-01-24T18:06:02.660621
1401241,Stop-BKK,Tampa,FL,"Thai, Asian",$31 to $50,4.1,52,1202 N Franklin St,33602-3314,https://www.opentable.com/restaurant/profile/1401241,False,2026-01-24T18:06:02.661064
1271647,The Pearl – Tampa,Tampa,FL,"Seafood, Gastro Pub",$31 to $50,4.7,725,823 Water St. Suite C-100,33602,https://www.opentable.com/restaurant/profile/1271647,False,2026-01-24T18:06:02.661069
1384993,Riverwalk Terrace,Tampa,FL,"Contemporary American, Breakfast, Contemporary European",$31 to $50,4.6,74,505 Water St,33602,https://www.opentable.com/restaurant/profile/1384993,False,2026-01-24T18:06:02.661075
106876,"Cooper's Hawk Winery & Restaurant - Tampa, FL",Tampa,FL,"Wine Bar, Seafood, American",$30 and under,4.6,838,4110 W Boy Scott Blvd,33607,https://www.opentable.com/restaurant/profile/106876,True,2026-01-24T18:06:02.661079
1426123,Nueva Cantina - Downtown Tampa,Tampa,FL,"Contemporary Mexican, Mexican, Cocktail Bar",$30 and under,4.1,136,903 N Franklin St,33602-3809,https://www.opentable.com/restaurant/profile/1426123,False,2026-01-24T18:06:02.662127
1040149,Julian Restaurant,Tampa,FL,"Contemporary American, Fusion / Eclectic, Cocktail Bar",$30 and under,4.4,14,2545 N Rocky Point Dr,33607-1434,https://www.opentable.com/restaurant/profile/1040149,True,2026-01-24T18:06:02.662132
3311,Gabriella’s,Tampa,FL,"International, Spanish",$31 to $50,4.2,75,4200 Jim Walter Blvd.,33607,https://www.opentable.com/restaurant/profile/3311,True,2026-01-24T18:06:02.662304
1236556,Columbia Cafe at the Tampa Bay History Center,Tampa,FL,"Spanish, Cuban",$30 and under,4.6,212,801 Water St #1905,33602,https://www.opentable.com/restaurant/profile/1236556,True,2026-01-24T18:06:02.662513
1047226,Anchor and Brine,Tampa,FL,"Seafood, American",$31 to $50,4.7,236,505 Water Street,33602,https://www.opentable.com/restaurant/profile/1047226,False,2026-01-24T18:06:02.662661
280513,La Terrazza Ristorante,Tampa,FL,Italian,$31 to $50,0.0,0,1727 E 7th Ave,33605-3805,https://www.opentable.com/restaurant/profile/280513,True,2026-01-24T18:06:02.663191
1321009,Predalina,Tampa,FL,"Mediterranean, Lounge, Cocktail Bar",$31 to $50,4.6,443,1001 E Cumberland Ave,33602,https://www.opentable.com/restaurant/profile/1321009,True,2026-01-24T18:06:02.663265
1055581,The Local Tampa,Tampa,FL,"Grill, Southern, American",$30 and under,3.6,65,3701 Henderson Blvd,33609-4503,https://www.opentable.com/restaurant/profile/1055581,False,2026-01-24T18:06:02.663543
147973,Sal Rosa,Tampa,FL,"Contemporary American, Spanish, Contemporary Latin",$31 to $50,3.9,23,601 North Florida Avenue,33602,https://www.opentable.com/restaurant/profile/147973,True,2026-01-24T18:06:02.663548
1276942,Coasis Restaurant Bar & Suites,Tampa,FL,"Steakhouse, Seafood, American",$31 to $50,4.4,67,7701 N Nebraska Ave,33604-8902,https://www.opentable.com/restaurant/profile/1276942,False,2026-01-24T18:06:02.663669
1141729,Driftlight Steakhouse,Tampa,FL,"Steakhouse, Steak, Seafood",$50 and over,4.5,204,510 Water St,33602,https://www.opentable.com/restaurant/profile/1141729,False,2026-01-24T18:06:02.663673
1368286,Ash,Tampa,FL,"International, Contemporary Italian",$31 to $50,4.7,184,420 S Nebraska Ave,33602,https://www.opentable.com/restaurant/profile/1368286,True,2026-01-24T18:06:02.663677
732652,Bulla Gastrobar - Tampa,Tampa,FL,"Tapas / Small Plates, Spanish",$30 and under,4.7,170,930 S Howard Ave,33606,https://www.opentable.com/restaurant/profile/732652,False,2026-01-24T18:06:02.663758
212650,Doc B's Restaurant - Tampa,Tampa,FL,"Vegetarian, Contemporary American, American",$30 and under,4.8,98,2223 North Westshore Blvd #B-206,33607,https://www.opentable.com/restaurant/profile/212650,False,2026-01-24T18:06:02.663763
1113604,7th + Grove,Tampa,FL,"Bar / Lounge / Bottle Service, Soul food, Contemporary American",$31 to $50,4.3,437,1930 E 7th Ave,33605-3815,https://www.opentable.com/restaurant/profile/1113604,False,2026-01-24T18:06:02.663768
104026,Cigar City Brewpub,Tampa,FL,"Brewery, Gastro Pub, Comfort Food",$30 and under,4.1,539,15491 North Dale Mabry Highway,33618,https://www.opentable.com/restaurant/profile/104026,False,2026-01-24T18:06:02.663775
1211605,Union New American,Tampa,FL,"Steak, Seafood, American",$31 to $50,4.8,527,1111 N. Westshore Blvd,33607,https://www.opentable.com/restaurant/profile/1211605,True,2026-01-24T18:06:02.663927
1381591,LALA Tampa Soho,Tampa,FL,"Bistro, French American, Mediterranean",$30 and under,4.6,30,208 S Howard Ave,33606-1727,https://www.opentable.com/restaurant/profile/1381591,False,2026-01-24T18:06:02.664462
282553,"Harry's Seafood Bar & Grille-Citrus Park,FL(Tampa)",Tampa,FL,Chinese,$31 to $50,0.0,0,11935 Sheldon Rd,33626-3644,https://www.opentable.com/restaurant/profile/282553,False,2026-01-24T18:06:02.664466
1261051,Boulon Brasserie,Tampa,FL,"Steak, Seafood, French",$31 to $50,4.7,905,1001 Water Street,33602,https://www.opentable.com/restaurant/profile/1261051,True,2026-01-24T18:06:02.664470
1359721,Mona,Philly,PA,"Mediterranean, Greek",$31 to $50,4.3,261,1308 Chestnut St,19107,https://www.opentable.com/restaurant/profile/1359721,True,2026-01-24T18:08:19.092859
1384417,The Avery,Philadelphia,PA,"Fusion / Eclectic, American",$31 to $50,4.3,238,117 Chestnut St,19106,https://www.opentable.com/restaurant/profile/1384417,False,2026-01-24T18:08:19.093373
731371,The Palm Philadelphia,Philadelphia,PA,"Steakhouse, Italian, Seafood",$31 to $50,4.4,3120,200 S Broad St,19102,https://www.opentable.com/restaurant/profile/731371,False,2026-01-24T18:08:19.093379
191326,The Little Lion,Philadelphia,PA,"Contemporary American, Comfort Food, American",$30 and under,4.2,3172,243 Chestnut Street,19106,https://www.opentable.com/restaurant/profile/191326,False,2026-01-24T18:08:19.093387
1021732,Jean-Georges Philadelphia,Philadelphia,PA,"Bar / Lounge / Bottle Service, American, Cocktail Bar",$30 and under,4.7,283,1 N 19th St,19103,https://www.opentable.com/restaurant/profile/1021732,False,2026-01-24T18:08:19.093393
114355,Continental Midtown,Philadelphia,PA,American,$30 and under,4.7,491,1801 Chestnut St,19103-3712,https://www.opentable.com/restaurant/profile/114355,False,2026-01-24T18:08:19.093398
17053,Bellini,Philadelphia,PA,"Steak, Italian, Contemporary Italian",$31 to $50,4.8,247,220 South 16th Street,19102,https://www.opentable.com/restaurant/profile/17053,True,2026-01-24T18:08:19.094138
1176403,Lea Restaurant & Bar,Philadelphia,PA,"Contemporary American, Comfort Food, Cocktail Bar",$30 and under,3.7,24,99 S 17th St,19103-4217,https://www.opentable.com/restaurant/profile/1176403,True,2026-01-24T18:08:19.094714
1382371,Little Walter's,Philadelphia,PA,Polish,$31 to $50,4.7,138,2049 E Hagert St,19125-1631,https://www.opentable.com/restaurant/profile/1382371,True,2026-01-24T18:08:19.095039
7480,Tinto,Philadelphia,PA,"Spanish, Basque",$31 to $50,4.4,14623,114 South 20th Street,19103,https://www.opentable.com/restaurant/profile/7480,False,2026-01-24T18:08:19.095146
108967,Noord,Philadelphia,PA,"Contemporary American, Nordic, Dutch",$31 to $50,4.7,4908,1046 Tasker St.,19148,https://www.opentable.com/restaurant/profile/108967,True,2026-01-24T18:08:19.095152
1177792,Chops,Philadelphia,PA,"Steakhouse, American",$31 to $50,4.6,87,1701 John F Kennedy Blvd,19103,https://www.opentable.com/restaurant/profile/1177792,False,2026-01-24T18:08:19.095434
1045054,Sabroso + Sorbo,Philadelphia,PA,"Tapas / Small Plates, Spanish, Breakfast",$31 to $50,3.7,149,21 N Juniper St,19107,https://www.opentable.com/restaurant/profile/1045054,True,2026-01-24T18:08:19.095442
66463,Taste - Society Hill,Philadelphia,PA,"Tapas / Small Plates, American",$30 and under,3.9,147,1 Dock Street,19106,https://www.opentable.com/restaurant/profile/66463,True,2026-01-24T18:08:19.095835
1388740,Adoro,Philadelphia,PA,Italian,$30 and under,4.8,403,769 E Passyunk Ave,19147,https://www.opentable.com/restaurant/profile/1388740,True,2026-01-24T18:08:19.095977
1164322,Aleksandar,Philadelphia,PA,"European, Modern European, Contemporary European",$31 to $50,4.5,84,126 S 19th St,19103,https://www.opentable.com/restaurant/profile/1164322,False,2026-01-24T18:08:19.096366
1363870,High Street Restaurant & Bar,Philadelphia,PA,"Pizzeria, Comfort Food, American",$30 and under,4.6,389,101 S 9th St,19107,https://www.opentable.com/restaurant/profile/1363870,False,2026-01-24T18:08:19.097062
255799,The Common,Philadelphia,PA,"Italian, American",$30 and under,4.1,167,3601 Market St,19104,https://www.opentable.com/restaurant/profile/255799,True,2026-01-24T18:08:19.097066
1478338,117 Old City Philly,Philadelphia,PA,"Steakhouse, American, Sports Bar",$31 to $50,4.8,23,117 Chestnut St,19106,https://www.opentable.com/restaurant/profile/1478338,True,2026-01-24T18:08:19.097478
