restaurant_id,name,address,city,state,website_url,price_level,rating,review_count,Maps_link
ChIJJ3w-CsN4bIcRnjIYAv0i6MU,Mercantile,"1701 Wynkoop St #155, Denver, CO 80202",Denver,CO,https://www.mercantiledenver.com/,PRICE_LEVEL_EXPENSIVE,4.5,1868,https://maps.google.com/?cid=14260686690125886110&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJI8vB8Ct5bIcR40G-TvheRxE,Steuben's Uptown,"523 E 17th Ave, Denver, CO 80203",Denver,CO,http://www.steubens.com/,PRICE_LEVEL_MODERATE,4.4,5911,https://maps.google.com/?cid=1245068242557223395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJAUSMLsHta4cRIfR5ZVYAjfs,GAIA MASALA AND BURGER,"1116 13th St, Boulder, CO 80302",Boulder,CO,https://www.gaiamasalaandburger.com/,PRICE_LEVEL_MODERATE,4.8,2909,https://maps.google.com/?cid=18126144446305793057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJrXTXgpHta4cRQWi-jspKxBQ,Stella's Cucina,"1123 Walnut St, Boulder, CO 80302",Boulder,CO,https://www.stellascucina.com/,,4.4,314,https://maps.google.com/?cid=1496403210032539713&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJH68pxyfsa4cRmlqp7By1XYE,Spruce Farm & Fish,"2115 13th St, Boulder, CO 80302",Boulder,CO,http://spruceboulderado.com/,PRICE_LEVEL_MODERATE,4.1,613,https://maps.google.com/?cid=9321805939561028250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ1-s3p6zva4cRIu-v9HZqf-g,Fringe - A Well-Tapped Eatery,"2900 Valmont Rd, Boulder, CO 80301",Boulder,CO,http://www.fringepizza.com/,PRICE_LEVEL_MODERATE,4.6,536,https://maps.google.com/?cid=16753226197985390370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJwZQQiiJFE4cRrB1XzuLWXrM,Jack Quinn's Irish Pub and Restaurant,"21 S Tejon St, Colorado Springs, CO 80903",Colorado Springs,CO,https://www.jackquinnspub.com/,PRICE_LEVEL_MODERATE,4.6,4546,https://maps.google.com/?cid=12925004250212670892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJtRZLX9NFE4cRsYD4pw9oIaQ,Bird Tree Cafe,"218 N Tejon St ste 110, Colorado Springs, CO 80903",Colorado Springs,CO,https://www.birdtreecafe.org/,PRICE_LEVEL_MODERATE,4.6,550,https://maps.google.com/?cid=11826848512903512241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJX1_VM6xFE4cRBCnSx5utxIk,Uwe's German Restaurant,"31 Iowa Ave #5913, Colorado Springs, CO 80909",Colorado Springs,CO,http://www.uwesgermanrestaurant.com/,PRICE_LEVEL_MODERATE,4.8,1344,https://maps.google.com/?cid=9927250363215390980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJgQnWynC3t4kRoG2k8vB3owU,Rania,"427 11th St NW, Washington, DC 20004",Washington,DC,https://www.raniadc.com/,,4.4,454,https://maps.google.com/?cid=406300268140195232&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
